Name,Start_year,Coordinates,Longitude,Latitude,Region,Website
Strathmill,1891,"57.5404001,-2.9639381",-2.9639381,57.5404001,Speyside,https://www.malts.com/en-row/brands/strathmill
Strathisla,1786,"57.5465613,-2.9563805",-2.9563805,57.5465613,Speyside,https://www.maltwhiskydistilleries.com/strathisla/
Glen_Spey,1878,"57.5257883,-3.2120571",-3.2120571,57.5257883,Speyside,
Glen_Keith,1957,"57.5468314,-2.9594777",-2.9594777,57.5468314,Speyside,
Aultmore ,1896,"57.5675492,-3.004304",-3.004304,57.5675492,Speyside,
Mannochmore,1971,"57.6006981,-3.3139831",-3.3139831,57.6006981,Speyside,
Miltonduff,1824,"57.6235059,-3.3703504",-3.3703504,57.6235059,Speyside,
Roseisle_Maltings,2010,"57.6687965,-3.476185",-3.476185,57.6687965,Speyside,
Glenburgie,1810,"57.6217052,-3.5186938",-3.5186938,57.6217052,Speyside,
Royal_Brackla,1812,"57.5389249,-3.9042346",-3.9042346,57.5389249,Highland,
